dog,chien
perspective,la perspective
photo,photo
recipe,recette
studio,studio
topic,sujet
collection,collection
depression,dépression
imagination,imagination
passion,la passion
percentage,pourcentage
resource,Ressource
setting,réglage
ad,un d
agency,agence
college,Université
connection,lien
criticism,critique
debt,dette
description,la description
memory,Mémoire
patience,la patience
secretary,secrétaire
solution,Solution
administration,administration
aspect,aspect
attitude,attitude
director,réalisateur
personality,personnalité
psychology,psychologie
recommendation,recommandation
response,réponse
selection,sélection
storage,espace de rangement
version,version
alcohol,de l'alcool
argument,argument
complaint,plainte
contract,Contrat
emphasis,accentuation
highway,Autoroute
loss,perte
membership,adhésion
possession,possession
preparation,préparation
steak,steak
union,syndicat
agreement,accord
cancer,cancer
currency,devise
employment,emploi
engineering,ingénierie
entry,entrée
interaction,interaction
mixture,mélange
preference,préférence
region,Région
republic,république
tradition,tradition
virus,virus
actor,acteur
classroom,salle de cours
delivery,livraison
device,dispositif
difficulty,difficulté
drama,drame
election,élection
engine,moteur
football,Football
guidance,orientation
hotel,un hôtel
owner,propriétaire
priority,priorité
protection,protection
suggestion,suggestion
tension,tension
variation,variation
anxiety,anxiété
atmosphere,atmosphère
awareness,conscience
bath,une baignoire
bread,pain
candidate,candidat
climate,climat
comparison,Comparaison
confusion,confusion
construction,construction
elevator,ascenseur
emotion,émotion
employee,employé
employer,employeur
guest,client
height,la taille
leadership,direction
mall,centre commercial
manager,directeur
operation,opération
recording,enregistrement
sample,échantillon
transportation,transport
charity,charité
cousin,cousin
disaster,catastrophe
editor,éditeur
efficiency,Efficacité
excitement,excitation
extent,ampleur
feedback,retour d'information
guitar,guitare
homework,devoirs
leader,chef
mom,maman
outcome,résultat
permission,autorisation
presentation,présentation
promotion,promotion
reflection,réflexion
refrigerator,réfrigérateur
resolution,résolution
revenue,revenu
session,session
singer,chanteur
tennis,tennis
basket,panier
bonus,prime
cabinet,cabinet
childhood,enfance
church,église
clothes,vêtements
coffee,café
dinner,dîner
drawing,dessin
hair,cheveux
hearing,audition
initiative,initiative
judgment,jugement
lab,laboratoire
measurement,la mesure
mode,mode
mud,boue
orange,Orange
poetry,poésie
police,police
possibility,possibilité
procedure,procédure
queen,reine
ratio,rapport
relation,relation
restaurant,restaurant
satisfaction,la satisfaction
sector,secteur
signature,Signature
significance,importance
song,chanson
tooth,dent
town,ville
vehicle,véhicule
volume,le volume
wife,femme
accident,accident
airport,aéroport
appointment,rendez-vous
arrival,arrivée
assumption,supposition
baseball,base-ball
chapter,chapitre
committee,Comité
conversation,conversation
database,base de données
enthusiasm,enthousiasme
error,Erreur
explanation,explication
farmer,agriculteur
gate,porte
girl,fille
hall,salle
historian,historien
hospital,hôpital
injury,blessure
instruction,instruction
maintenance,entretien
manufacturer,fabricant
meal,repas
perception,la perception
pie,tarte
poem,poème
presence,présence
proposal,proposition
reception,accueil
replacement,remplacement
revolution,révolution
river,rivière
son,fils
speech,discours
tea,thé
village,village
warning,Attention
winner,gagnant
worker,ouvrier
